user_id,sw_name,sw_version,device_id,device_type,timezone,type,start,end,event_type,data,number,timestamps
0,crowdsignals.algosnap.com,1.0(1),352622063881655,smartphone,-8,phonestate,1464136346498000000,1464136346498000000,DataActivity,DATA_ACTIVITY_NONE,null,1464136346498000000
0,crowdsignals.algosnap.com,1.0(1),352622063881655,smartphone,-8,phonestate,1464136347503000000,1464136347503000000,DataActivity,DATA_ACTIVITY_NONE,null,1464136347503000000
0,crowdsignals.algosnap.com,1.0(1),352622063881655,smartphone,-8,phonestate,1464136408238000000,1464136408238000000,ServiceStateChanged,STATE_IN_SERVICE,null,1464136408238000000
0,crowdsignals.algosnap.com,1.0(1),352622063881655,smartphone,-8,phonestate,1464136408305000000,1464136408305000000,ServiceStateChanged,STATE_IN_SERVICE,null,1464136408305000000
0,crowdsignals.algosnap.com,1.0(1),352622063881655,smartphone,-8,phonestate,1464136408344000000,1464136408344000000,CellLocationChanged,[42973;9775755;-1],null,1464136408344000000
0,crowdsignals.algosnap.com,1.0(1),352622063881655,smartphone,-8,phonestate,1464136408549000000,1464136408549000000,DataConnectionStateChanged,DATA_DISCONNECTED,null,1464136408549000000
0,crowdsignals.algosnap.com,1.0(1),352622063881655,smartphone,-8,phonestate,1464136408557000000,1464136408557000000,DataConnectionStateChanged,DATA_DISCONNECTED,null,1464136408557000000
0,crowdsignals.algosnap.com,1.0(1),352622063881655,smartphone,-8,phonestate,1464136408568000000,1464136408568000000,DataConnectionStateChanged,DATA_CONNECTED,null,1464136408568000000
0,crowdsignals.algosnap.com,1.0(1),352622063881655,smartphone,-8,phonestate,1464136408575000000,1464136408575000000,DataConnectionStateChanged,DATA_CONNECTED,null,1464136408575000000
0,crowdsignals.algosnap.com,1.0(1),352622063881655,smartphone,-8,phonestate,1464136408992000000,1464136408992000000,ServiceStateChanged,STATE_IN_SERVICE,null,1464136408992000000
0,crowdsignals.algosnap.com,1.0(1),352622063881655,smartphone,-8,phonestate,1464136409013000000,1464136409013000000,DataConnectionStateChanged,DATA_CONNECTED,null,1464136409013000000
0,crowdsignals.algosnap.com,1.0(1),352622063881655,smartphone,-8,phonestate,1464136409013000000,1464136409013000000,DataConnectionStateChanged,DATA_CONNECTED,null,1464136409013000000
0,crowdsignals.algosnap.com,1.0(1),352622063881655,smartphone,-8,phonestate,1464136413647000000,1464136413647000000,DataConnectionStateChanged,DATA_DISCONNECTED,null,1464136413647000000
0,crowdsignals.algosnap.com,1.0(1),352622063881655,smartphone,-8,phonestate,1464136413658000000,1464136413658000000,DataConnectionStateChanged,DATA_DISCONNECTED,null,1464136413658000000
0,crowdsignals.algosnap.com,1.0(1),352622063881655,smartphone,-8,phonestate,1464136413695000000,1464136413695000000,DataActivity,DATA_ACTIVITY_NONE,null,1464136413695000000
0,crowdsignals.algosnap.com,1.0(1),352622063881655,smartphone,-8,phonestate,1464136420977000000,1464136420977000000,DataConnectionStateChanged,DATA_CONNECTED,null,1464136420977000000
0,crowdsignals.algosnap.com,1.0(1),352622063881655,smartphone,-8,phonestate,1464136420995000000,1464136420995000000,DataConnectionStateChanged,DATA_CONNECTED,null,1464136420995000000
0,crowdsignals.algosnap.com,1.0(1),352622063881655,smartphone,-8,phonestate,1464136421033000000,1464136421033000000,DataActivity,DATA_ACTIVITY_NONE,null,1464136421033000000
