user_id,sw_name,sw_version,device_id,device_type,timezone,type,start,end,event_type,data,number,timestamps
0,crowdsignals.algosnap.com,1.0(1),352622063881655,smartphone,-8,phonestate,1464138495428000000,1464138495428000000,CallState,CALL_STATE_RINGING,+12062292645,1464138495428000000
0,crowdsignals.algosnap.com,1.0(1),352622063881655,smartphone,-8,phonestate,1464138498715000000,1464138498715000000,DataActivity,DATA_ACTIVITY_INOUT,null,1464138498715000000
0,crowdsignals.algosnap.com,1.0(1),352622063881655,smartphone,-8,phonestate,1464138515792000000,1464138515792000000,DataActivity,DATA_ACTIVITY_NONE,null,1464138515792000000
0,crowdsignals.algosnap.com,1.0(1),352622063881655,smartphone,-8,phonestate,1464138516353000000,1464138516353000000,CallState,CALL_STATE_IDLE,+12062292645,1464138516353000000
0,crowdsignals.algosnap.com,1.0(1),352622063881655,smartphone,-8,phonestate,1464138517792000000,1464138517792000000,DataActivity,DATA_ACTIVITY_INOUT,null,1464138517792000000
0,crowdsignals.algosnap.com,1.0(1),352622063881655,smartphone,-8,phonestate,1464138518859000000,1464138518859000000,DataActivity,DATA_ACTIVITY_OUT,null,1464138518859000000
0,crowdsignals.algosnap.com,1.0(1),352622063881655,smartphone,-8,phonestate,1464138519868000000,1464138519868000000,DataActivity,DATA_ACTIVITY_NONE,null,1464138519868000000
0,crowdsignals.algosnap.com,1.0(1),352622063881655,smartphone,-8,phonestate,1464138585102000000,1464138585102000000,DataActivity,DATA_ACTIVITY_INOUT,null,1464138585102000000
0,crowdsignals.algosnap.com,1.0(1),352622063881655,smartphone,-8,phonestate,1464138586104000000,1464138586104000000,DataActivity,DATA_ACTIVITY_NONE,null,1464138586104000000
0,crowdsignals.algosnap.com,1.0(1),352622063881655,smartphone,-8,phonestate,1464138589143000000,1464138589143000000,DataActivity,DATA_ACTIVITY_INOUT,null,1464138589143000000
0,crowdsignals.algosnap.com,1.0(1),352622063881655,smartphone,-8,phonestate,1464138603570000000,1464138603570000000,DataActivity,DATA_ACTIVITY_NONE,null,1464138603570000000
