user_id,sw_name,sw_version,device_id,device_type,timezone,type,start,end,sensor_name,x,y,z,timestamps
0,crowdsignals.algosnap.com,1.0(1),352622063881655,smartphone,-8,magnetometer,1464137113000000000,1464137114000000000,AK09911C Magnetic field Sensor,-10.5,-104.94,61.44,1464137113010255833
0,crowdsignals.algosnap.com,1.0(1),352622063881655,smartphone,-8,magnetometer,1464137113000000000,1464137114000000000,AK09911C Magnetic field Sensor,-10.5,-104.94,61.5,1464137113020324479
0,crowdsignals.algosnap.com,1.0(1),352622063881655,smartphone,-8,magnetometer,1464137113000000000,1464137114000000000,AK09911C Magnetic field Sensor,-10.5,-104.94,61.5,1464137113029834479
0,crowdsignals.algosnap.com,1.0(1),352622063881655,smartphone,-8,magnetometer,1464137113000000000,1464137114000000000,AK09911C Magnetic field Sensor,-10.56,-104.94,61.56,1464137113039648854
0,crowdsignals.algosnap.com,1.0(1),352622063881655,smartphone,-8,magnetometer,1464137113000000000,1464137114000000000,AK09911C Magnetic field Sensor,-10.56,-104.94,61.62,1464137113049408854
0,crowdsignals.algosnap.com,1.0(1),352622063881655,smartphone,-8,magnetometer,1464137113000000000,1464137114000000000,AK09911C Magnetic field Sensor,-10.56,-105.0,61.62,1464137113059264063
0,crowdsignals.algosnap.com,1.0(1),352622063881655,smartphone,-8,magnetometer,1464137113000000000,1464137114000000000,AK09911C Magnetic field Sensor,-10.56,-105.06,61.68,1464137113068693698
0,crowdsignals.algosnap.com,1.0(1),352622063881655,smartphone,-8,magnetometer,1464137113000000000,1464137114000000000,AK09911C Magnetic field Sensor,-10.56,-105.06,61.74,1464137113078525416
0,crowdsignals.algosnap.com,1.0(1),352622063881655,smartphone,-8,magnetometer,1464137113000000000,1464137114000000000,AK09911C Magnetic field Sensor,-10.56,-105.12,61.74,1464137113089248750
0,crowdsignals.algosnap.com,1.0(1),352622063881655,smartphone,-8,magnetometer,1464137113000000000,1464137114000000000,AK09911C Magnetic field Sensor,-10.56,-105.18,61.8,1464137113099094739
0,crowdsignals.algosnap.com,1.0(1),352622063881655,smartphone,-8,magnetometer,1464137113000000000,1464137114000000000,AK09911C Magnetic field Sensor,-10.56,-105.18,61.86,1464137113108911770
0,crowdsignals.algosnap.com,1.0(1),352622063881655,smartphone,-8,magnetometer,1464137113000000000,1464137114000000000,AK09911C Magnetic field Sensor,-10.56,-105.24,61.86,1464137113118712969
0,crowdsignals.algosnap.com,1.0(1),352622063881655,smartphone,-8,magnetometer,1464137113000000000,1464137114000000000,AK09911C Magnetic field Sensor,-10.56,-105.3,61.86,1464137113128526719
0,crowdsignals.algosnap.com,1.0(1),352622063881655,smartphone,-8,magnetometer,1464137113000000000,1464137114000000000,AK09911C Magnetic field Sensor,-10.5,-105.3,61.92,1464137113138771406
0,crowdsignals.algosnap.com,1.0(1),352622063881655,smartphone,-8,magnetometer,1464137113000000000,1464137114000000000,AK09911C Magnetic field Sensor,-10.5,-105.36,61.92,1464137113148138750
0,crowdsignals.algosnap.com,1.0(1),352622063881655,smartphone,-8,magnetometer,1464137113000000000,1464137114000000000,AK09911C Magnetic field Sensor,-10.44,-105.36,61.86,1464137113158611094
0,crowdsignals.algosnap.com,1.0(1),352622063881655,smartphone,-8,magnetometer,1464137113000000000,1464137114000000000,AK09911C Magnetic field Sensor,-10.38,-105.36,61.86,1464137113167971458
0,crowdsignals.algosnap.com,1.0(1),352622063881655,smartphone,-8,magnetometer,1464137113000000000,1464137114000000000,AK09911C Magnetic field Sensor,-10.32,-105.42,61.8,1464137113177786198
0,crowdsignals.algosnap.com,1.0(1),352622063881655,smartphone,-8,magnetometer,1464137113000000000,1464137114000000000,AK09911C Magnetic field Sensor,-10.26,-105.42,61.8,1464137113188693646
0,crowdsignals.algosnap.com,1.0(1),352622063881655,smartphone,-8,magnetometer,1464137113000000000,1464137114000000000,AK09911C Magnetic field Sensor,-10.14,-105.42,61.74,1464137113197729271
0,crowdsignals.algosnap.com,1.0(1),352622063881655,smartphone,-8,magnetometer,1464137113000000000,1464137114000000000,AK09911C Magnetic field Sensor,-10.08,-105.42,61.68,1464137113207779636
0,crowdsignals.algosnap.com,1.0(1),352622063881655,smartphone,-8,magnetometer,1464137113000000000,1464137114000000000,AK09911C Magnetic field Sensor,-10.02,-105.36,61.68,1464137113218508594
0,crowdsignals.algosnap.com,1.0(1),352622063881655,smartphone,-8,magnetometer,1464137113000000000,1464137114000000000,AK09911C Magnetic field Sensor,-9.9,-105.36,61.62,1464137113227759896
0,crowdsignals.algosnap.com,1.0(1),352622063881655,smartphone,-8,magnetometer,1464137113000000000,1464137114000000000,AK09911C Magnetic field Sensor,-9.84,-105.3,61.56,1464137113237693698
0,crowdsignals.algosnap.com,1.0(1),352622063881655,smartphone,-8,magnetometer,1464137113000000000,1464137114000000000,AK09911C Magnetic field Sensor,-9.78,-105.3,61.56,1464137113247464376
0,crowdsignals.algosnap.com,1.0(1),352622063881655,smartphone,-8,magnetometer,1464137113000000000,1464137114000000000,AK09911C Magnetic field Sensor,-9.72,-105.24,61.5,1464137113257549167
0,crowdsignals.algosnap.com,1.0(1),352622063881655,smartphone,-8,magnetometer,1464137113000000000,1464137114000000000,AK09911C Magnetic field Sensor,-9.66,-105.24,61.44,1464137113266756198
0,crowdsignals.algosnap.com,1.0(1),352622063881655,smartphone,-8,magnetometer,1464137113000000000,1464137114000000000,AK09911C Magnetic field Sensor,-9.6,-105.24,61.44,1464137113277163646
0,crowdsignals.algosnap.com,1.0(1),352622063881655,smartphone,-8,magnetometer,1464137113000000000,1464137114000000000,AK09911C Magnetic field Sensor,-9.54,-105.18,61.38,1464137113288326041
