user_id,sw_name,sw_version,device_id,device_type,timezone,type,start,end,sensor_name,pressure,timestamps
0,crowdsignals.algosnap.com,1.0(1),352622063881655,smartphone,-8,pressure,1464138075000000000,1464138076000000000,Barometer Sensor,1001.843,1464138075313585625
0,crowdsignals.algosnap.com,1.0(1),352622063881655,smartphone,-8,pressure,1464138075000000000,1464138076000000000,Barometer Sensor,1002.01416,1464138075491881770
0,crowdsignals.algosnap.com,1.0(1),352622063881655,smartphone,-8,pressure,1464138075000000000,1464138076000000000,Barometer Sensor,1002.40063,1464138075669924270
0,crowdsignals.algosnap.com,1.0(1),352622063881655,smartphone,-8,pressure,1464138075000000000,1464138076000000000,Barometer Sensor,1002.4673,1464138075847931198
0,crowdsignals.algosnap.com,1.0(1),352622063881655,smartphone,-8,pressure,1464138076000000000,1464138077000000000,Barometer Sensor,1001.7739,1464138076203680729
0,crowdsignals.algosnap.com,1.0(1),352622063881655,smartphone,-8,pressure,1464138076000000000,1464138077000000000,Barometer Sensor,1001.6692,1464138076381082395
0,crowdsignals.algosnap.com,1.0(1),352622063881655,smartphone,-8,pressure,1464138076000000000,1464138077000000000,Barometer Sensor,1002.0337,1464138076559582656
0,crowdsignals.algosnap.com,1.0(1),352622063881655,smartphone,-8,pressure,1464138076000000000,1464138077000000000,Barometer Sensor,1002.05444,1464138076737388437
0,crowdsignals.algosnap.com,1.0(1),352622063881655,smartphone,-8,pressure,1464138076000000000,1464138077000000000,Barometer Sensor,1003.2595,1464138076915395781
0,crowdsignals.algosnap.com,1.0(1),352622063881655,smartphone,-8,pressure,1464138077000000000,1464138078000000000,Barometer Sensor,1001.7046,1464138077271373229
0,crowdsignals.algosnap.com,1.0(1),352622063881655,smartphone,-8,pressure,1464138077000000000,1464138078000000000,Barometer Sensor,1001.87646,1464138077449667396
0,crowdsignals.algosnap.com,1.0(1),352622063881655,smartphone,-8,pressure,1464138077000000000,1464138078000000000,Barometer Sensor,1002.1704,1464138077627040157
0,crowdsignals.algosnap.com,1.0(1),352622063881655,smartphone,-8,pressure,1464138077000000000,1464138078000000000,Barometer Sensor,1002.6846,1464138077805146354
0,crowdsignals.algosnap.com,1.0(1),352622063881655,smartphone,-8,pressure,1464138077000000000,1464138078000000000,Barometer Sensor,1003.55493,1464138077983127917
0,crowdsignals.algosnap.com,1.0(1),352622063881655,smartphone,-8,pressure,1464138078000000000,1464138079000000000,Barometer Sensor,1001.71655,1464138078338784011
0,crowdsignals.algosnap.com,1.0(1),352622063881655,smartphone,-8,pressure,1464138078000000000,1464138079000000000,Barometer Sensor,1002.16846,1464138078516137917
0,crowdsignals.algosnap.com,1.0(1),352622063881655,smartphone,-8,pressure,1464138078000000000,1464138079000000000,Barometer Sensor,1002.2427,1464138078694032136
0,crowdsignals.algosnap.com,1.0(1),352622063881655,smartphone,-8,pressure,1464138078000000000,1464138079000000000,Barometer Sensor,1002.71924,1464138078872460678
0,crowdsignals.algosnap.com,1.0(1),352622063881655,smartphone,-8,pressure,1464138079000000000,1464138080000000000,Barometer Sensor,1001.7283,1464138079228183542
0,crowdsignals.algosnap.com,1.0(1),352622063881655,smartphone,-8,pressure,1464138079000000000,1464138080000000000,Barometer Sensor,1001.8296,1464138079406423334
0,crowdsignals.algosnap.com,1.0(1),352622063881655,smartphone,-8,pressure,1464138079000000000,1464138080000000000,Barometer Sensor,1002.322,1464138079583637500
0,crowdsignals.algosnap.com,1.0(1),352622063881655,smartphone,-8,pressure,1464138079000000000,1464138080000000000,Barometer Sensor,1002.26,1464138079761769271
0,crowdsignals.algosnap.com,1.0(1),352622063881655,smartphone,-8,pressure,1464138079000000000,1464138080000000000,Barometer Sensor,1002.7385,1464138079939385156
0,crowdsignals.algosnap.com,1.0(1),352622063881655,smartphone,-8,pressure,1464138080000000000,1464138081000000000,Barometer Sensor,1001.6753,1464138080295778177
0,crowdsignals.algosnap.com,1.0(1),352622063881655,smartphone,-8,pressure,1464138080000000000,1464138081000000000,Barometer Sensor,1002.0056,1464138080473090364
0,crowdsignals.algosnap.com,1.0(1),352622063881655,smartphone,-8,pressure,1464138080000000000,1464138081000000000,Barometer Sensor,1002.35693,1464138080651844010
0,crowdsignals.algosnap.com,1.0(1),352622063881655,smartphone,-8,pressure,1464138080000000000,1464138081000000000,Barometer Sensor,1002.81445,1464138080829057708
0,crowdsignals.algosnap.com,1.0(1),352622063881655,smartphone,-8,pressure,1464138081000000000,1464138082000000000,Barometer Sensor,1002.0752,1464138081185404688
0,crowdsignals.algosnap.com,1.0(1),352622063881655,smartphone,-8,pressure,1464138081000000000,1464138082000000000,Barometer Sensor,1001.6399,1464138081362702136
0,crowdsignals.algosnap.com,1.0(1),352622063881655,smartphone,-8,pressure,1464138081000000000,1464138082000000000,Barometer Sensor,1001.92334,1464138081533018333
0,crowdsignals.algosnap.com,1.0(1),352622063881655,smartphone,-8,pressure,1464138081000000000,1464138082000000000,Barometer Sensor,1002.2388,1464138081719096146
