user_id,sw_name,sw_version,device_id,device_type,timezone,type,start,end,bssid,ssid,frequency,level,timestamps
0,crowdsignals.algosnap.com,1.0(1),352622063881655,smartphone,-8,wlan,1464137143000000000,1464137153000000000,00:02:6f:ff:d5:24,,5180,-82.0,1464137146424505582
0,crowdsignals.algosnap.com,1.0(1),352622063881655,smartphone,-8,wlan,1464137143000000000,1464137153000000000,00:02:6f:ff:d5:2a,,5180,-85.0,1464137146424413113
0,crowdsignals.algosnap.com,1.0(1),352622063881655,smartphone,-8,wlan,1464137143000000000,1464137153000000000,00:02:6f:ff:d5:24,,5180,-80.0,1464137149887659407
0,crowdsignals.algosnap.com,1.0(1),352622063881655,smartphone,-8,wlan,1464137143000000000,1464137153000000000,00:02:6f:ff:d5:2a,,5180,-87.0,1464137149887553407
0,crowdsignals.algosnap.com,1.0(1),352622063881655,smartphone,-8,wlan,1464137143000000000,1464137153000000000,a2:e4:cb:42:1f:68,CenturyLink1361,2452,-92.0,1464137149887472636
0,crowdsignals.algosnap.com,1.0(1),352622063881655,smartphone,-8,wlan,1464137153000000000,1464137163000000000,00:02:6f:ff:d5:2a,,5180,-81.0,1464137153341995012
0,crowdsignals.algosnap.com,1.0(1),352622063881655,smartphone,-8,wlan,1464137153000000000,1464137163000000000,00:02:6f:ff:d5:24,,5180,-81.0,1464137153341589129
0,crowdsignals.algosnap.com,1.0(1),352622063881655,smartphone,-8,wlan,1464137153000000000,1464137163000000000,00:02:6f:ff:d5:2a,,5180,-81.0,1464137153341473764
0,crowdsignals.algosnap.com,1.0(1),352622063881655,smartphone,-8,wlan,1464137153000000000,1464137163000000000,60:02:92:d4:2f:00,marels-5,5765,-90.0,1464137156805137816
0,crowdsignals.algosnap.com,1.0(1),352622063881655,smartphone,-8,wlan,1464137153000000000,1464137163000000000,ac:f1:df:0d:aa:18,BurgerMaster,2442,-91.0,1464137156805045566
0,crowdsignals.algosnap.com,1.0(1),352622063881655,smartphone,-8,wlan,1464137153000000000,1464137163000000000,60:02:92:d4:2f:00,marels-5,5765,-90.0,1464137156805124328
0,crowdsignals.algosnap.com,1.0(1),352622063881655,smartphone,-8,wlan,1464137153000000000,1464137163000000000,ac:f1:df:0d:aa:18,BurgerMaster,2442,-91.0,1464137156804831609
0,crowdsignals.algosnap.com,1.0(1),352622063881655,smartphone,-8,wlan,1464137163000000000,1464137173000000000,00:26:f2:6c:ad:9a,ANA,2437,-85.0,1464137171674231209
0,crowdsignals.algosnap.com,1.0(1),352622063881655,smartphone,-8,wlan,1464137173000000000,1464137183000000000,74:85:2a:f5:64:d0,HOME-A444-5,5745,-91.0,1464137176424368355
0,crowdsignals.algosnap.com,1.0(1),352622063881655,smartphone,-8,wlan,1464137173000000000,1464137183000000000,b8:3e:59:e5:10:c1,DIRECT-roku-CE2996,2462,-90.0,1464137176424099834
0,crowdsignals.algosnap.com,1.0(1),352622063881655,smartphone,-8,wlan,1464137173000000000,1464137183000000000,ea:37:7a:47:a9:44,Uncle_Lees,2462,-92.0,1464137176424835689
0,crowdsignals.algosnap.com,1.0(1),352622063881655,smartphone,-8,wlan,1464137173000000000,1464137183000000000,fa:8f:ca:35:86:af,,2432,-89.0,1464137176424578574
0,crowdsignals.algosnap.com,1.0(1),352622063881655,smartphone,-8,wlan,1464137173000000000,1464137183000000000,00:26:f2:6c:ad:9a,ANA,2437,-89.0,1464137179891376866
0,crowdsignals.algosnap.com,1.0(1),352622063881655,smartphone,-8,wlan,1464137173000000000,1464137183000000000,74:85:2a:f5:64:d0,HOME-A444-5,5745,-91.0,1464137176424937939
0,crowdsignals.algosnap.com,1.0(1),352622063881655,smartphone,-8,wlan,1464137173000000000,1464137183000000000,b8:3e:59:e5:10:c1,DIRECT-roku-CE2996,2462,-90.0,1464137179891218085
0,crowdsignals.algosnap.com,1.0(1),352622063881655,smartphone,-8,wlan,1464137173000000000,1464137183000000000,ea:37:7a:47:a9:44,Uncle_Lees,2462,-93.0,1464137179891138741
0,crowdsignals.algosnap.com,1.0(1),352622063881655,smartphone,-8,wlan,1464137173000000000,1464137183000000000,fa:8f:ca:35:86:af,,2432,-87.0,1464137179891045595
0,crowdsignals.algosnap.com,1.0(1),352622063881655,smartphone,-8,wlan,1464137173000000000,1464137183000000000,10:c3:7b:d3:e4:a0,UniversityScuba,2447,-87.0,1464137179890989022
0,crowdsignals.algosnap.com,1.0(1),352622063881655,smartphone,-8,wlan,1464137183000000000,1464137193000000000,fa:8f:ca:35:86:af,,2432,-89.0,1464137183356996044
0,crowdsignals.algosnap.com,1.0(1),352622063881655,smartphone,-8,wlan,1464137183000000000,1464137193000000000,10:c3:7b:d3:e4:a0,UniversityScuba,2447,-90.0,1464137183356985502
0,crowdsignals.algosnap.com,1.0(1),352622063881655,smartphone,-8,wlan,1464137183000000000,1464137193000000000,64:a5:c3:6b:9a:d6,CardSwapper,2437,-91.0,1464137183356864898
0,crowdsignals.algosnap.com,1.0(1),352622063881655,smartphone,-8,wlan,1464137183000000000,1464137193000000000,f8:32:e4:f5:aa:88,MYHOME,2437,-91.0,1464137183356667721
0,crowdsignals.algosnap.com,1.0(1),352622063881655,smartphone,-8,wlan,1464137183000000000,1464137193000000000,74:85:2a:f5:64:d1,xfinitywifi,5745,-91.0,1464137183356669544
0,crowdsignals.algosnap.com,1.0(1),352622063881655,smartphone,-8,wlan,1464137183000000000,1464137193000000000,00:26:f2:6c:ad:9a,ANA,2437,-90.0,1464137183357033806
